[2025-08-09T08:12:55.178Z] CLEANUP: 🧹 HANDMATIGE CLEANUP GESTART
[2025-08-09T08:12:55.520Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754042740640.json (01/08/2025)
[2025-08-09T08:12:55.522Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754039140728.json (01/08/2025)
[2025-08-09T08:12:55.524Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754035540827.json (01/08/2025)
[2025-08-09T08:12:55.526Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754031940508.json (01/08/2025)
[2025-08-09T08:12:55.528Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754028340772.json (01/08/2025)
[2025-08-09T08:12:55.529Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754024740912.json (01/08/2025)
[2025-08-09T08:12:55.531Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754021140540.json (01/08/2025)
[2025-08-09T08:12:55.533Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754017540777.json (01/08/2025)
[2025-08-09T08:12:55.535Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754013940704.json (01/08/2025)
[2025-08-09T08:12:55.537Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754010341068.json (01/08/2025)
[2025-08-09T08:12:55.539Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754006740718.json (01/08/2025)
[2025-08-09T08:12:55.541Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754003140917.json (01/08/2025)
[2025-08-09T08:12:55.542Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753999541108.json (01/08/2025)
[2025-08-09T08:12:55.544Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753995940472.json (31/07/2025)
[2025-08-09T08:12:55.546Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753992340441.json (31/07/2025)
[2025-08-09T08:12:55.548Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753988740416.json (31/07/2025)
[2025-08-09T08:12:55.550Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753985140610.json (31/07/2025)
[2025-08-09T08:12:55.552Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753981540513.json (31/07/2025)
[2025-08-09T08:12:55.554Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753977940377.json (31/07/2025)
